sale_date,product_id,total_items_sold,total_revenue
2026-03-06,16,29,4475.00
2026-03-06,18,23,3551.00
2026-03-06,46,9,1225.00
2026-03-06,37,15,975.00
2026-03-06,19,6,870.00
2026-03-06,38,10,850.00
2026-03-06,39,3,345.00
2026-03-05,1,1196,79030.00
2026-03-05,2,367,32235.00
2026-03-05,15,71,8440.00
2026-03-05,3,65,8050.00
2026-03-05,17,66,7940.00
2026-03-05,20,39,4585.00
2026-03-05,44,44,3790.00
2026-03-05,45,31,3260.00
2026-03-05,18,17,2789.00
2026-03-05,37,38,2560.00
2026-03-05,16,14,2119.00
2026-03-05,46,7,1050.00
2026-03-05,19,5,725.00
2026-03-05,38,6,590.00
2026-03-04,1,865,57350.00
2026-03-04,2,323,27955.00
2026-03-04,17,80,9800.00
2026-03-04,15,77,9430.00
2026-03-04,3,60,7225.00
2026-03-04,44,55,4490.00
2026-03-04,20,35,4075.00
2026-03-04,45,34,3605.00
2026-03-04,16,14,2370.00
2026-03-04,37,32,2080.00
2026-03-04,18,14,2065.00
2026-03-04,19,8,1214.00
2026-03-04,46,5,870.00
2026-03-04,38,8,720.00
2026-03-04,39,1,115.00
2026-03-03,1,930,61125.00
2026-03-03,2,287,24775.00
2026-03-03,15,82,9680.00
2026-03-03,17,72,8380.00
2026-03-03,3,46,5515.00
2026-03-03,20,33,4045.00
2026-03-03,44,37,3190.00
2026-03-03,18,21,3115.00
2026-03-03,45,28,2980.00
2026-03-03,16,18,2664.00
2026-03-03,37,16,1040.00
2026-03-03,19,5,725.00
2026-03-03,46,3,390.00
2026-03-03,39,2,230.00
2026-03-03,38,2,170.00
2026-03-02,1,770,51070.00
2026-03-02,2,326,28690.00
2026-03-02,3,65,7950.00
2026-03-02,17,65,7700.00
2026-03-02,15,52,6230.00
2026-03-02,45,34,3580.00
2026-03-02,20,28,3295.00
2026-03-02,44,26,2115.00
2026-03-02,18,10,1504.00
2026-03-02,16,8,1303.00
2026-03-02,46,7,1050.00
2026-03-02,37,14,910.00
2026-03-02,19,5,868.00
2026-03-02,38,2,190.00
2026-03-01,1,1416,93840.00
2026-03-01,2,466,40830.00
2026-03-01,15,108,13370.00
2026-03-01,17,104,12610.00
2026-03-01,3,84,10310.00
2026-03-01,44,64,5320.00
2026-03-01,45,47,5255.00
2026-03-01,20,41,5115.00
2026-03-01,18,27,4023.00
2026-03-01,16,22,3279.00
2026-03-01,46,13,1805.00
2026-03-01,19,8,1160.00
2026-03-01,37,16,1115.00
2026-03-01,38,7,595.00
2026-02-28,1,1231,80585.00
2026-02-28,2,410,35250.00
2026-02-28,17,118,14145.00
2026-02-28,15,107,12680.00
2026-02-28,3,72,8680.00
2026-02-28,20,62,7280.00
2026-02-28,45,62,6470.00
2026-02-28,16,40,6232.00
2026-02-28,44,64,5560.00
2026-02-28,18,25,3787.00
2026-02-28,37,24,1680.00
2026-02-28,19,9,1305.00
2026-02-28,46,5,650.00
2026-02-28,38,7,595.00
2026-02-28,39,4,460.00
2026-02-27,1,1029,67890.00
2026-02-27,2,400,34580.00
2026-02-27,15,90,10875.00
2026-02-27,3,92,10755.00
2026-02-27,17,84,9960.00
2026-02-27,44,61,5225.00
2026-02-27,45,37,3925.00
2026-02-27,20,27,3205.00
2026-02-27,18,21,3099.00
2026-02-27,16,18,2753.00
2026-02-27,19,14,2138.00
2026-02-27,37,15,1005.00
2026-02-27,38,8,680.00
2026-02-27,46,4,630.00
2026-02-27,39,2,230.00
2026-02-26,1,987,65220.00
2026-02-26,2,321,28125.00
2026-02-26,15,81,9865.00
2026-02-26,17,72,8705.00
2026-02-26,3,57,6755.00
2026-02-26,20,43,5245.00
2026-02-26,45,46,5075.00
2026-02-26,44,53,4555.00
2026-02-26,16,23,3478.00
2026-02-26,18,16,2482.00
2026-02-26,46,13,2130.00
2026-02-26,38,10,850.00
2026-02-26,19,5,779.00
2026-02-26,37,10,680.00
2026-02-25,1,605,39820.00
2026-02-25,2,246,21070.00
2026-02-25,15,60,6950.00
2026-02-25,17,55,6575.00
2026-02-25,3,46,5415.00
2026-02-25,44,52,4335.00
2026-02-25,45,35,3680.00
2026-02-25,20,25,2975.00
2026-02-25,16,17,2627.00
2026-02-25,18,10,1504.00
2026-02-25,46,5,760.00
2026-02-25,19,5,725.00
2026-02-25,37,6,390.00
2026-02-25,38,2,170.00
2026-02-24,1,574,37685.00
2026-02-24,2,216,18540.00
2026-02-24,17,59,6960.00
2026-02-24,15,48,5770.00
2026-02-24,3,42,5130.00
2026-02-24,44,37,3135.00
2026-02-24,45,26,2780.00
2026-02-24,20,21,2565.00
2026-02-24,18,11,1757.00
2026-02-24,46,9,1225.00
2026-02-24,16,7,1015.00
2026-02-24,37,11,805.00
2026-02-24,38,4,380.00
2026-02-24,19,2,290.00
2026-02-24,39,1,115.00
2026-02-23,1,586,38420.00
2026-02-23,2,226,19710.00
2026-02-23,15,67,7955.00
2026-02-23,17,50,6000.00
2026-02-23,44,47,4155.00
2026-02-23,3,34,3960.00
2026-02-23,45,34,3610.00
2026-02-23,18,21,3261.00
2026-02-23,20,26,3090.00
2026-02-23,16,13,2101.00
2026-02-23,46,5,705.00
2026-02-23,37,8,565.00
2026-02-23,39,4,460.00
2026-02-23,19,3,435.00
2026-02-23,38,4,340.00
2026-02-22,1,495,32460.00
2026-02-22,2,165,14065.00
2026-02-22,3,46,5415.00
2026-02-22,15,40,5000.00
2026-02-22,17,30,3700.00
2026-02-22,16,18,2969.00
2026-02-22,44,23,2015.00
2026-02-22,20,15,1825.00
2026-02-22,45,17,1790.00
2026-02-22,46,8,1150.00
2026-02-22,19,7,1069.00
2026-02-22,18,5,725.00
2026-02-22,37,3,195.00
2026-02-22,38,1,85.00
2026-02-21,1,1152,75435.00
2026-02-21,2,330,29130.00
2026-02-21,17,90,10875.00
2026-02-21,3,79,9485.00
2026-02-21,15,70,8300.00
2026-02-21,45,44,4895.00
2026-02-21,20,32,3780.00
2026-02-21,16,23,3389.00
2026-02-21,44,36,2915.00
2026-02-21,18,11,1684.00
2026-02-21,19,7,1069.00
2026-02-21,46,5,760.00
2026-02-21,37,7,485.00
2026-02-21,38,5,425.00
2026-02-21,39,2,230.00
2026-02-20,1,768,51375.00
2026-02-20,2,233,20025.00
2026-02-20,3,57,6755.00
2026-02-20,17,56,6640.00
2026-02-20,15,39,4685.00
2026-02-20,20,29,3385.00
2026-02-20,16,18,2772.00
2026-02-20,44,32,2735.00
2026-02-20,45,26,2645.00
2026-02-20,18,14,2192.00
2026-02-20,19,8,1214.00
2026-02-20,46,6,780.00
2026-02-20,38,3,295.00
2026-02-20,37,3,225.00
2026-02-19,1,591,38685.00
2026-02-19,2,204,17540.00
2026-02-19,17,51,6015.00
2026-02-19,3,48,5595.00
2026-02-19,15,45,5475.00
2026-02-19,44,45,3690.00
2026-02-19,45,34,3580.00
2026-02-19,16,18,2826.00
2026-02-19,18,12,1937.00
2026-02-19,20,12,1380.00
2026-02-19,19,8,1268.00
2026-02-19,46,7,1020.00
2026-02-19,37,7,455.00
2026-02-19,38,3,255.00
2026-02-19,39,1,115.00
2026-02-18,1,629,41125.00
2026-02-18,2,211,18535.00
2026-02-18,17,53,6420.00
2026-02-18,15,48,5820.00
2026-02-18,3,47,5555.00
2026-02-18,44,48,4045.00
2026-02-18,16,22,3549.00
2026-02-18,20,24,2960.00
2026-02-18,45,25,2590.00
2026-02-18,18,13,1974.00
2026-02-18,46,5,650.00
2026-02-18,37,9,600.00
2026-02-18,19,3,489.00
2026-02-18,38,3,315.00
2026-02-18,39,1,115.00
2026-02-17,1,1197,79470.00
2026-02-17,2,421,36545.00
2026-02-17,17,117,13905.00
2026-02-17,3,79,9510.00
2026-02-17,15,76,9015.00
2026-02-17,20,52,6130.00
2026-02-17,44,70,6005.00
2026-02-17,45,45,5155.00
2026-02-17,18,21,3153.00
2026-02-17,16,13,1955.00
2026-02-17,19,12,1848.00
2026-02-17,46,8,1095.00
2026-02-17,37,6,390.00
2026-02-17,38,2,170.00
2026-02-16,1,1088,71530.00
2026-02-16,2,347,30555.00
2026-02-16,15,87,10355.00
2026-02-16,17,75,9375.00
2026-02-16,3,75,8750.00
2026-02-16,44,72,6345.00
2026-02-16,45,47,4950.00
2026-02-16,20,37,4405.00
2026-02-16,16,20,2900.00
2026-02-16,18,12,1794.00
2026-02-16,19,11,1649.00
2026-02-16,37,17,1165.00
2026-02-16,46,6,865.00
2026-02-16,38,6,510.00
2026-02-15,1,1317,86985.00
2026-02-15,2,441,38385.00
2026-02-15,3,106,12865.00
2026-02-15,17,102,11930.00
2026-02-15,15,88,10495.00
2026-02-15,44,78,6800.00
2026-02-15,20,46,5440.00
2026-02-15,16,27,4058.00
2026-02-15,45,28,2850.00
2026-02-15,18,18,2699.00
2026-02-15,19,17,2681.00
2026-02-15,46,14,1930.00
2026-02-15,37,14,925.00
2026-02-15,39,5,625.00
2026-02-15,38,4,380.00
2026-02-14,1,1169,76750.00
2026-02-14,2,406,35510.00
2026-02-14,17,114,13960.00
2026-02-14,15,110,13275.00
2026-02-14,3,58,7020.00
2026-02-14,44,75,6445.00
2026-02-14,45,54,5940.00
2026-02-14,16,28,4276.00
2026-02-14,18,28,4222.00
2026-02-14,20,35,4025.00
2026-02-14,46,16,2190.00
2026-02-14,19,14,2084.00
2026-02-14,37,14,910.00
2026-02-14,39,4,460.00
2026-02-14,38,2,170.00
2026-02-13,1,1068,69855.00
2026-02-13,2,350,30310.00
2026-02-13,15,71,8390.00
2026-02-13,17,67,7905.00
2026-02-13,3,60,7025.00
2026-02-13,44,68,5830.00
2026-02-13,45,50,5160.00
2026-02-13,20,26,3090.00
2026-02-13,16,11,1684.00
2026-02-13,18,11,1649.00
2026-02-13,46,11,1485.00
2026-02-13,19,6,870.00
2026-02-13,37,10,680.00
2026-02-13,39,4,485.00
2026-02-13,38,4,340.00
2026-02-12,1,933,61380.00
2026-02-12,2,338,29290.00
2026-02-12,17,65,8175.00
2026-02-12,3,64,7460.00
2026-02-12,15,58,7395.00
2026-02-12,44,61,4985.00
2026-02-12,45,44,4655.00
2026-02-12,20,34,4060.00
2026-02-12,16,23,3567.00
2026-02-12,18,11,1811.00
2026-02-12,37,19,1280.00
2026-02-12,46,8,1205.00
2026-02-12,19,7,1015.00
2026-02-12,38,5,425.00
2026-02-12,39,3,345.00
2026-02-11,1,747,49665.00
2026-02-11,2,270,23370.00
2026-02-11,15,61,7315.00
2026-02-11,17,57,6805.00
2026-02-11,3,53,6445.00
2026-02-11,44,60,4925.00
2026-02-11,45,42,4360.00
2026-02-11,20,21,2465.00
2026-02-11,16,15,2175.00
2026-02-11,18,13,1993.00
2026-02-11,46,8,1095.00
2026-02-11,19,4,634.00
2026-02-11,37,9,615.00
2026-02-11,39,1,115.00
2026-02-11,38,1,85.00
2026-02-10,1,321,20985.00
2026-02-10,2,109,9465.00
2026-02-10,15,32,3980.00
2026-02-10,3,16,1840.00
2026-02-10,45,18,1800.00
2026-02-10,17,12,1430.00
2026-02-10,44,13,1215.00
2026-02-10,20,9,1085.00
2026-02-10,16,7,1069.00
2026-02-10,18,6,924.00
2026-02-10,19,3,489.00
2026-02-10,39,3,395.00
2026-02-10,37,5,325.00
2026-02-10,46,2,315.00
2026-02-09,1,426,28170.00
2026-02-09,2,122,10550.00
2026-02-09,3,28,3470.00
2026-02-09,17,26,3090.00
2026-02-09,20,22,2630.00
2026-02-09,15,18,2245.00
2026-02-09,45,13,1415.00
2026-02-09,44,15,1395.00
2026-02-09,37,10,650.00
2026-02-09,18,4,634.00
2026-02-09,19,4,580.00
2026-02-09,16,4,580.00
2026-02-09,46,3,445.00
2026-02-09,38,3,255.00
2026-02-09,39,1,115.00
2026-02-08,1,944,62425.00
2026-02-08,2,321,28345.00
2026-02-08,17,78,9545.00
2026-02-08,15,73,8895.00
2026-02-08,3,68,8045.00
2026-02-08,45,49,5175.00
2026-02-08,44,55,4770.00
2026-02-08,20,26,3340.00
2026-02-08,16,15,2318.00
2026-02-08,18,12,1740.00
2026-02-08,37,17,1135.00
2026-02-08,46,5,760.00
2026-02-08,38,4,360.00
2026-02-08,19,1,145.00
2026-02-08,39,1,115.00
2026-02-07,1,1213,79955.00
2026-02-07,2,349,30585.00
2026-02-07,17,109,12910.00
2026-02-07,15,84,10160.00
2026-02-07,3,83,9970.00
2026-02-07,20,45,5325.00
2026-02-07,45,48,5140.00
2026-02-07,18,34,5038.00
2026-02-07,44,53,4415.00
2026-02-07,16,28,4222.00
2026-02-07,19,9,1305.00
2026-02-07,37,19,1235.00
2026-02-07,46,8,1095.00
2026-02-07,39,1,115.00
2026-02-07,38,1,85.00
2026-02-06,1,541,35645.00
2026-02-06,2,175,14915.00
2026-02-06,15,40,4700.00
2026-02-06,17,39,4635.00
2026-02-06,3,36,4190.00
2026-02-06,45,20,2090.00
2026-02-06,44,24,2025.00
2026-02-06,18,11,1684.00
2026-02-06,20,12,1480.00
2026-02-06,16,8,1195.00
2026-02-06,37,13,875.00
2026-02-06,19,4,580.00
2026-02-06,46,2,315.00
2026-02-06,39,2,305.00
2026-02-06,38,1,85.00
2026-02-05,1,502,33920.00
2026-02-05,2,163,14115.00
2026-02-05,15,39,4910.00
2026-02-05,17,39,4810.00
2026-02-05,3,24,2935.00
2026-02-05,44,26,2210.00
2026-02-05,20,17,2055.00
2026-02-05,45,17,1745.00
2026-02-05,16,10,1450.00
2026-02-05,46,7,1135.00
2026-02-05,18,5,779.00
2026-02-05,19,5,725.00
2026-02-05,37,4,260.00
2026-02-05,39,1,115.00
2026-02-05,38,1,85.00
2026-02-04,1,642,42105.00
2026-02-04,2,200,17620.00
2026-02-04,44,68,5895.00
2026-02-04,3,48,5770.00
2026-02-04,15,47,5580.00
2026-02-04,17,44,5285.00
2026-02-04,45,26,2825.00
2026-02-04,20,17,2005.00
2026-02-04,16,12,1794.00
2026-02-04,18,12,1740.00
2026-02-04,46,8,1260.00
2026-02-04,37,10,710.00
2026-02-04,19,3,435.00
2026-02-04,38,2,170.00
2026-02-04,39,1,115.00
2026-02-03,1,680,45010.00
2026-02-03,2,210,17990.00
2026-02-03,17,62,7680.00
2026-02-03,15,48,5720.00
2026-02-03,45,40,4835.00
2026-02-03,44,54,4585.00
2026-02-03,20,32,3830.00
2026-02-03,3,17,2030.00
2026-02-03,16,11,1649.00
2026-02-03,18,7,1069.00
2026-02-03,46,6,920.00
2026-02-03,19,5,760.00
2026-02-03,37,9,585.00
2026-02-03,38,5,445.00
2026-02-02,1,327,21555.00
2026-02-02,2,114,10090.00
2026-02-02,3,26,3015.00
2026-02-02,15,18,2370.00
2026-02-02,45,21,2190.00
2026-02-02,17,16,1890.00
2026-02-02,44,18,1475.00
2026-02-02,20,10,1200.00
2026-02-02,18,7,1069.00
2026-02-02,46,6,890.00
2026-02-02,16,5,779.00
2026-02-02,37,4,260.00
2026-02-02,38,2,170.00
2026-02-02,19,1,145.00
2026-02-02,39,1,140.00
2026-02-01,1,743,48895.00
2026-02-01,2,305,26525.00
2026-02-01,3,76,8790.00
2026-02-01,17,66,7690.00
2026-02-01,15,62,7355.00
2026-02-01,44,43,3655.00
2026-02-01,16,21,3261.00
2026-02-01,45,26,2780.00
2026-02-01,20,22,2630.00
2026-02-01,18,16,2409.00
2026-02-01,19,4,742.00
2026-02-01,37,10,695.00
2026-02-01,46,4,520.00
2026-02-01,38,3,255.00
2026-02-01,39,1,115.00
2026-01-31,1,864,56385.00
2026-01-31,2,295,25515.00
2026-01-31,17,76,9065.00
2026-01-31,15,70,8550.00
2026-01-31,3,69,8110.00
2026-01-31,20,39,4685.00
2026-01-31,44,41,3760.00
2026-01-31,45,33,3555.00
2026-01-31,16,22,3406.00
2026-01-31,18,14,2227.00
2026-01-31,37,16,1160.00
2026-01-31,46,7,1020.00
2026-01-31,19,3,435.00
2026-01-31,38,2,170.00
2026-01-30,1,458,30595.00
2026-01-30,2,142,12690.00
2026-01-30,17,42,4830.00
2026-01-30,3,35,4200.00
2026-01-30,15,33,3995.00
2026-01-30,45,31,3735.00
2026-01-30,20,22,2630.00
2026-01-30,44,21,1820.00
2026-01-30,16,12,1775.00
2026-01-30,18,11,1757.00
2026-01-30,46,6,945.00
2026-01-30,19,5,725.00
2026-01-30,37,4,260.00
2026-01-30,39,1,115.00
2026-01-30,38,1,85.00
2026-01-29,1,766,50360.00
2026-01-29,2,236,20600.00
2026-01-29,17,80,9600.00
2026-01-29,3,52,6355.00
2026-01-29,15,48,5770.00
2026-01-29,45,36,4035.00
2026-01-29,20,33,3870.00
2026-01-29,44,33,2790.00
2026-01-29,18,14,2246.00
2026-01-29,16,14,2138.00
2026-01-29,46,6,890.00
2026-01-29,37,9,585.00
2026-01-29,19,3,489.00
2026-01-29,38,5,425.00
2026-01-28,1,709,46340.00
2026-01-28,2,223,19375.00
2026-01-28,17,72,8380.00
2026-01-28,15,49,5785.00
2026-01-28,3,47,5730.00
2026-01-28,45,29,3040.00
2026-01-28,44,34,2940.00
2026-01-28,20,20,2300.00
2026-01-28,46,9,1340.00
2026-01-28,18,8,1268.00
2026-01-28,16,8,1160.00
2026-01-28,19,6,905.00
2026-01-28,37,11,715.00
2026-01-28,38,5,425.00
2026-01-27,1,535,35015.00
2026-01-27,2,179,15675.00
2026-01-27,17,49,6010.00
2026-01-27,3,31,3615.00
2026-01-27,15,28,3370.00
2026-01-27,20,27,3105.00
2026-01-27,44,29,2670.00
2026-01-27,45,21,2100.00
2026-01-27,16,11,1757.00
2026-01-27,18,11,1703.00
2026-01-27,46,6,890.00
2026-01-27,38,6,510.00
2026-01-27,19,3,489.00
2026-01-27,37,5,355.00
2026-01-26,1,418,27410.00
2026-01-26,2,140,12480.00
2026-01-26,17,33,3920.00
2026-01-26,15,31,3740.00
2026-01-26,3,29,3585.00
2026-01-26,44,27,2235.00
2026-01-26,45,20,2050.00
2026-01-26,20,17,1955.00
2026-01-26,16,12,1794.00
2026-01-26,46,6,945.00
2026-01-26,18,4,634.00
2026-01-26,37,7,455.00
2026-01-26,19,1,199.00
2026-01-26,39,1,115.00
2026-01-25,1,845,55810.00
2026-01-25,2,326,28410.00
2026-01-25,15,71,8590.00
2026-01-25,17,67,8205.00
2026-01-25,3,56,6740.00
2026-01-25,20,36,4215.00
2026-01-25,16,27,4185.00
2026-01-25,44,43,3820.00
2026-01-25,45,32,3435.00
2026-01-25,18,15,2445.00
2026-01-25,19,8,1465.00
2026-01-25,46,5,790.00
2026-01-25,38,6,550.00
2026-01-25,37,8,550.00
2026-01-25,39,1,115.00
2026-01-24,1,697,45845.00
2026-01-24,2,243,20855.00
2026-01-24,15,71,8515.00
2026-01-24,17,60,7000.00
2026-01-24,3,52,6380.00
2026-01-24,44,53,4455.00
2026-01-24,20,29,3435.00
2026-01-24,45,26,2715.00
2026-01-24,18,10,1558.00
2026-01-24,16,9,1359.00
2026-01-24,46,5,760.00
2026-01-24,19,4,634.00
2026-01-24,37,7,455.00
2026-01-24,38,4,400.00
2026-01-24,39,2,230.00
2026-01-23,1,800,52780.00
2026-01-23,2,261,22425.00
2026-01-23,17,74,9035.00
2026-01-23,15,70,8550.00
2026-01-23,44,69,5835.00
2026-01-23,3,50,5800.00
2026-01-23,20,27,3155.00
2026-01-23,45,30,3045.00
2026-01-23,46,13,1885.00
2026-01-23,16,12,1794.00
2026-01-23,18,11,1649.00
2026-01-23,37,16,1100.00
2026-01-23,38,11,975.00
2026-01-23,19,6,924.00
2026-01-23,39,3,345.00
2026-01-22,1,754,49775.00
2026-01-22,2,217,18865.00
2026-01-22,15,72,8555.00
2026-01-22,17,65,7675.00
2026-01-22,3,47,5555.00
2026-01-22,44,51,4430.00
2026-01-22,20,35,4125.00
2026-01-22,18,20,2989.00
2026-01-22,45,24,2445.00
2026-01-22,16,10,1504.00
2026-01-22,19,9,1305.00
2026-01-22,37,14,910.00
2026-01-22,39,4,460.00
2026-01-22,46,2,315.00
2026-01-22,38,3,255.00
2026-01-21,1,780,51810.00
2026-01-21,2,280,24440.00
2026-01-21,17,81,9565.00
2026-01-21,15,61,7240.00
2026-01-21,3,60,7100.00
2026-01-21,18,26,4282.00
2026-01-21,44,51,4220.00
2026-01-21,20,28,3270.00
2026-01-21,45,31,3190.00
2026-01-21,16,16,2482.00
2026-01-21,46,6,835.00
2026-01-21,19,4,634.00
2026-01-21,37,7,455.00
2026-01-21,38,5,425.00
2026-01-20,1,1020,67350.00
2026-01-20,2,317,27745.00
2026-01-20,17,95,11400.00
2026-01-20,15,86,10140.00
2026-01-20,3,64,7560.00
2026-01-20,45,55,5525.00
2026-01-20,44,64,5230.00
2026-01-20,16,24,3604.00
2026-01-20,20,27,3205.00
2026-01-20,18,15,2318.00
2026-01-20,19,12,1775.00
2026-01-20,46,9,1200.00
2026-01-20,37,10,680.00
2026-01-20,38,6,510.00
2026-01-20,39,1,140.00
2026-01-19,1,1045,68390.00
2026-01-19,2,356,30900.00
2026-01-19,17,84,9785.00
2026-01-19,15,80,9400.00
2026-01-19,3,55,6475.00
2026-01-19,20,40,4750.00
2026-01-19,18,23,3513.00
2026-01-19,44,40,3305.00
2026-01-19,45,29,2945.00
2026-01-19,16,16,2320.00
2026-01-19,46,9,1200.00
2026-01-19,19,6,1032.00
2026-01-19,38,8,680.00
2026-01-19,37,7,455.00
2026-01-19,39,1,115.00
2026-01-18,1,1152,75945.00
2026-01-18,2,408,35700.00
2026-01-18,15,100,11950.00
2026-01-18,17,83,9995.00
2026-01-18,3,79,9260.00
2026-01-18,45,75,7930.00
2026-01-18,20,63,7445.00
2026-01-18,44,69,5905.00
2026-01-18,16,26,4075.00
2026-01-18,18,20,3008.00
2026-01-18,37,21,1365.00
2026-01-18,46,7,1130.00
2026-01-18,19,7,1123.00
2026-01-18,38,2,170.00
2026-01-18,39,1,165.00
2026-01-17,1,958,63095.00
2026-01-17,2,357,31205.00
2026-01-17,17,95,11125.00
2026-01-17,15,71,8440.00
2026-01-17,3,62,7655.00
2026-01-17,44,59,4970.00
2026-01-17,20,35,4225.00
2026-01-17,45,39,4135.00
2026-01-17,16,22,3298.00
2026-01-17,18,16,2409.00
2026-01-17,19,8,1268.00
2026-01-17,46,9,1255.00
2026-01-17,37,12,780.00
2026-01-17,38,6,510.00
2026-01-16,1,395,25915.00
2026-01-16,2,139,11935.00
2026-01-16,17,37,4405.00
2026-01-16,15,35,4275.00
2026-01-16,3,27,3330.00
2026-01-16,18,11,1757.00
2026-01-16,44,19,1590.00
2026-01-16,20,11,1315.00
2026-01-16,45,11,1190.00
2026-01-16,16,6,870.00
2026-01-16,38,6,590.00
2026-01-16,19,3,489.00
2026-01-16,46,2,290.00
2026-01-16,37,1,65.00
2026-01-15,1,569,37900.00
2026-01-15,2,190,16630.00
2026-01-15,3,54,6310.00
2026-01-15,17,47,5755.00
2026-01-15,15,40,4900.00
2026-01-15,44,38,3355.00
2026-01-15,20,29,3335.00
2026-01-15,45,18,1845.00
2026-01-15,16,10,1558.00
2026-01-15,18,8,1214.00
2026-01-15,46,8,1095.00
2026-01-15,19,5,725.00
2026-01-15,37,9,585.00
2026-01-15,38,1,85.00
2026-01-14,1,647,42370.00
2026-01-14,2,216,18820.00
2026-01-14,15,56,6890.00
2026-01-14,17,53,6295.00
2026-01-14,3,51,5990.00
2026-01-14,45,39,3970.00
2026-01-14,44,39,3210.00
2026-01-14,20,22,2680.00
2026-01-14,18,13,2047.00
2026-01-14,16,9,1467.00
2026-01-14,46,8,1095.00
2026-01-14,37,13,905.00
2026-01-14,19,3,435.00
2026-01-14,38,2,170.00
2026-01-14,39,1,115.00
2026-01-13,1,952,62945.00
2026-01-13,2,360,31060.00
2026-01-13,17,77,9005.00
2026-01-13,15,68,8095.00
2026-01-13,3,56,6540.00
2026-01-13,44,78,6505.00
2026-01-13,45,51,5460.00
2026-01-13,20,35,4025.00
2026-01-13,16,14,2119.00
2026-01-13,18,12,1883.00
2026-01-13,19,6,978.00
2026-01-13,46,7,910.00
2026-01-13,37,11,715.00
2026-01-13,39,4,460.00
2026-01-13,38,3,255.00
2026-01-12,1,953,62665.00
2026-01-12,2,309,26945.00
2026-01-12,17,98,11870.00
2026-01-12,15,85,9825.00
2026-01-12,3,60,7100.00
2026-01-12,45,66,6915.00
2026-01-12,20,51,6040.00
2026-01-12,44,57,4705.00
2026-01-12,18,18,2769.00
2026-01-12,16,17,2662.00
2026-01-12,46,15,2115.00
2026-01-12,19,11,1649.00
2026-01-12,37,7,515.00
2026-01-12,38,3,255.00
2026-01-12,39,2,230.00
2026-01-11,1,784,51740.00
2026-01-11,2,279,24315.00
2026-01-11,17,66,7865.00
2026-01-11,3,59,7110.00
2026-01-11,15,57,6680.00
2026-01-11,44,60,5065.00
2026-01-11,20,38,4520.00
2026-01-11,45,37,3930.00
2026-01-11,18,23,3713.00
2026-01-11,16,19,3079.00
2026-01-11,37,11,805.00
2026-01-11,19,5,779.00
2026-01-11,46,5,735.00
2026-01-11,39,4,510.00
2026-01-11,38,3,255.00
2026-01-10,1,672,44475.00
2026-01-10,2,218,18730.00
2026-01-10,15,66,8065.00
2026-01-10,17,54,6685.00
2026-01-10,3,48,5745.00
2026-01-10,44,46,3845.00
2026-01-10,20,33,3795.00
2026-01-10,45,28,2895.00
2026-01-10,16,13,1885.00
2026-01-10,18,11,1703.00
